Frequency,MonetaryValue,Cluster,PCA1,PCA2
11,372.86,0,0.4341267491172826,0.6987817378976391
2,1323.32,0,-0.2694624724725433,-0.15565422085468325
1,222.16,0,-0.4434015330182374,-0.15482906923589446
3,2671.14,0,-0.07594980746769174,-0.17605297693262942
1,300.93,0,-0.437150771552058,-0.1610798307020739
2,343.8,0,-0.34719188559114295,-0.07792480773608358
1,317.76,0,-0.4358152337143558,-0.16241536853977606
1,488.21000000000004,0,-0.42228924295759196,-0.1759413592965399
3,3560.3,0,-0.0053908755739742915,-0.24661190882634687
2,12079.99,0,0.5841287213881718,-1.0092454147153982
3,2719.01,0,-0.07215110299408488,-0.17985168140623628
6,2563.36,0,0.17516821764889684,0.09217072473149808
5,1590.83,0,0.01143653868749438,0.08278849476599515
3,321.35,0,-0.2624164417905788,0.010413657390257618
1,130.0,0,-0.4507148525145317,-0.14751574973960016
1,500.24,0,-0.42133460717698845,-0.1768959950771434
1,917.6999999999999,0,-0.3882072378527372,-0.21002336440139469
3,1791.15,0,-0.14578105772316025,-0.10622172667716093
3,774.62,0,-0.22644738441118106,-0.025555399989140113
3,2179.42,0,-0.11497004903364018,-0.13703273536668098
2,763.0500000000001,0,-0.31392247154143194,-0.1111942217857946
3,2246.29,0,-0.1096636072506845,-0.14233917714963668
2,503.15,0,-0.3345467308414197,-0.09056996248580679
2,1798.2,0,-0.23177856229024926,-0.19333813103697725
1,1407.7,0,-0.3493234861905824,-0.24890711606354946
2,767.98,0,-0.31353125338695353,-0.111585439940273
7,6951.49,0,0.6099434520740866,-0.16949060076678635
1,1938.4,0,-0.30721000250261193,-0.2910205997515199
1,258.9,0,-0.4404860451895281,-0.15774455706460377
1,143.94,0,-0.449608649457041,-0.14862195279709087
2,1120.45,0,-0.2855611392066276,-0.13955555412059892
3,1433.33,0,-0.17417571898796072,-0.07782706541236047
5,2285.18,0,0.06653640188467227,0.02768863156881727
1,234.75000000000003,0,-0.4424024586643058,-0.1558281435898261
2,816.85,0,-0.30965319431811783,-0.11546349900910872
4,2048.64,0,-0.038791088534221405,-0.040097786939194434
1,931.43,0,-0.3871176992602446,-0.2111129029938873
3,853.65,0,-0.22017599075024208,-0.0318267936500791
1,205.25,0,-0.4447434192235579,-0.15348718303057396
5,1031.3,0,-0.03296473798092492,0.12718977143441443
1,591.6600000000001,0,-0.4140800100811636,-0.18415059217296828
1,63.24,0,-0.45601256529201223,-0.14221803696211965
3,2975.06,0,-0.05183235888572831,-0.20017042551459285
3,1452.22,0,-0.17267671068408702,-0.07932607371623415
4,12346.619999999999,0,0.7784009460409551,-0.8572898215143708
1,320.38,0,-0.43560732467485613,-0.16262327757927575
1,346.9,0,-0.433502840809386,-0.16472776144474585
3,1370.05,0,-0.1791972777740447,-0.07280550662627648
1,241.35,0,-0.4418787183357951,-0.15635188391833676
3,390.0,0,-0.2569687488281157,0.0049659644277944975
7,19543.84,2,1.6092042893045655,-1.168751437997265
1,202.56,0,-0.44495688308472364,-0.15327371916940824
11,3148.31,0,0.6543714604452978,0.4785370265696239
3,1352.62,0,-0.18058042836888422,-0.07142235603143697
2,503.01,0,-0.3345578404847518,-0.09055885284247474
2,291.56,0,-0.3513373696459,-0.07377932368132653
14,4428.24,2,1.0156106509069656,0.6366395628886722
2,763.08,0,-0.3139200909035751,-0.11119660242365145
2,1579.07,0,-0.24916753474275533,-0.1759491585844712
1,964.21,0,-0.3845164556286416,-0.21371414662549024
1,762.48,0,-0.40052465812416504,-0.1977059441299668
1,303.5,0,-0.43694683024231973,-0.16128377201181213
5,3735.51,0,0.18162675198298442,-0.08740171852949485
13,4370.52,0,0.9244733492069015,0.554662955661831
5,7205.39,0,0.4569776748757958,-0.36275264142230623
1,297.29,0,-0.43743962227869115,-0.16079097997544073
4,6096.04,0,0.28238870019517703,-0.3612775756685928
21,7731.99,2,1.8836770761385708,0.9803705001454048
2,1142.88,0,-0.2837812156356437,-0.14133547769158286
2,859.2,0,-0.3062925272101744,-0.1188241661170521
1,173.55,0,-0.4472589598923137,-0.15097164236181823
1,485.31,0,-0.4225193712837558,-0.17571123097037614
1,301.58000000000004,0,-0.4370991910651592,-0.16113141118897265
2,768.6,0,-0.31348205353791164,-0.11163463978931491
3,490.32,0,-0.24900789583475372,-0.002994888565567474
3,3634.36,0,0.00048612574867709705,-0.2524889101489982
4,13151.44,0,0.8422671113730684,-0.9211559868464841
4,3413.09,0,0.06948428892583389,-0.14837316439924972
1,632.68,0,-0.41082488458487465,-0.18740571766925723
2,830.09,0,-0.30860253947728733,-0.1165141538499392
1,454.36,0,-0.4249753960060898,-0.17325520624804205
1,326.65,0,-0.435109771362771,-0.16312083089136087
1,56.73,0,-0.4565291637069523,-0.14170143854717962
1,132.8,0,-0.4504926596478908,-0.14773794260624107
3,2941.2,0,-0.054519305480178436,-0.19748347892014273
2,3070.54,0,-0.13081253659672681,-0.29430415673049964
1,211.95,0,-0.4442117434355244,-0.1540188588186075
49,20129.54,2,5.291074363195137,2.4201626630421886
13,11308.48,2,1.4750323567211125,0.00410394814762025
13,5048.66,0,0.9782868744154191,0.5008494304533134
1,426.26,0,-0.42720526013202154,-0.17102534212211032
12,7267.49,2,1.0678042764836786,0.23821811945814875
3,7056.63,0,0.2720589763626412,-0.5240617607629623
3,2183.2200000000003,0,-0.1146685015717704,-0.13733428282855079
6,6765.07,0,0.5085932139680648,-0.2412542715876699
29,23691.4,2,3.8425852324880485,0.4063736152111706
11,2612.2000000000003,0,0.611828668397139,0.5210798186177826
6,1826.78,0,0.11671720989520303,0.1506217324851919
1,708.1,0,-0.40483996101271197,-0.1933906412414199
1,1037.28,0,-0.37871801535526683,-0.21951258689886502
1,285.29999999999995,0,-0.4383910838754855,-0.15983951837864638
11,4405.71,0,0.7541519284861007,0.378756558528821
1,452.0,0,-0.42516267285083,-0.1730679294033019
3,626.77,0,-0.23817996131577204,-0.013822823084549143
1,357.4,0,-0.43266961755948274,-0.16556098469464914
2,45.34,0,-0.37087605808315666,-0.05424063524406989
2,5205.400000000001,0,0.03859841457361557,-0.463715107900842
1,393.72,0,-0.42978745866076956,-0.16844314359336235
8,1697.39,0,0.2795634277454426,0.334003332488763
1,1126.0,0,-0.37167767566655996,-0.22655292658757192
2,297.0,0,-0.3509056806478549,-0.07421101267937166
1,955.2,0,-0.3852314405316539,-0.21299916172247796
1,539.25,0,-0.4182389844171096,-0.1799916178370223
7,4195.45,0,0.3912390134394641,0.04921383786783612
1,3084.02,0,-0.21629979111649406,-0.38193081113763777
1,580.08,0,-0.4149989362939141,-0.18323166596021775
2,1336.56,0,-0.2684118176317128,-0.15670487569551372
1,385.7,0,-0.4304238825145052,-0.16780671973962666
12,2562.58,0,0.6944480478453343,0.6115743480964928
9,6640.39,0,0.7583701464252851,0.028310522735825776
3,973.73,0,-0.2106470909551573,-0.04135569344516388
2,386.8,0,-0.3437796379963008,-0.08133705533092575
1,316.48,0,-0.4359168075962488,-0.16231379465788306
5,2096.98,0,0.051601867062595695,0.042623166390893835
1,1807.98,0,-0.3175594288123634,-0.28067117344176845
2,1367.89,0,-0.26592563816319176,-0.15919105516403478
1,732.94,0,-0.4028687928672264,-0.19536180938690548
1,276.5,0,-0.4390894043134997,-0.15914119794063217
3,5646.400000000001,0,0.1601507455330075,-0.4121535299333286
16,8854.25,2,1.5399487918628783,0.45852923978657023
2,481.88,0,-0.33623460308193814,-0.08888209024528837
1,980.25,0,-0.3832436079211703,-0.2149869943329616
1,175.78,0,-0.4470819991449532,-0.15114860310917863
6,1575.68,0,0.09679127103322943,0.17054767134716547
2,916.47,0,-0.30174788954141607,-0.12336880378581047
1,468.5,0,-0.42385332202955334,-0.17437728022457852
1,129.23,0,-0.45077595555285793,-0.14745464670127392
